100_50.out ,  'infinite'
178_50.out ,  1885033245.6666667
179_100.out ,  858.9010999999997
179_50.out ,  504.9850333333333
180_100.out ,  394.3333333333333
180_200.out ,  1030.0
180_50.out ,  159.0
181_100.out ,  56.333333333333336
181_50.out ,  13.666666666666666
183_100.out ,  99.0
183_50.out ,  37.666666666666664
184_100.out ,  245.33333333333334
184_200.out ,  244.0
184_50.out ,  244.0
185_50.out ,  783.9866666666668
186_50.out ,  'infinite'
187_100.out ,  'infinite'
187_50.out ,  'infinite'
189_50.out ,  175.50729333333334
191_50.out ,  38.666666666666664
194_100.out ,  388.2
194_50.out ,  4000000483.49998
195_50.out ,  234.33333333333334
196_100.out ,  39.239990000000006
196_50.out ,  29.145400000000002
197_200.out ,  158.0
197_50.out ,  204.0
199_50.out ,  225.0
1_100.out ,  55444.73733333334
1_50.out ,  29985.845
200_50.out ,  8896.380040000002
201_50.out ,  4634084014.666667
202_50.out ,  68564.43405000001
203_50.out ,  12395.190620000001
204_100.out ,  'infinite'
204_50.out ,  'infinite'
205_50.out ,  1502.6666666666667
206_100.out ,  54915948.0
206_50.out ,  48179164.333333336
207_50.out ,  62.0
208_100.out ,  'infinite'
208_50.out ,  'infinite'
209_50.out ,  156448.6781966667
20_50.out ,  12607224195.180147
210_50.out ,  24.0
211_100.out ,  131.33333333333334
211_50.out ,  64.66666666666666
212_200.out ,  'infinite'
212_50.out ,  'infinite'
213_50.out ,  118.66666666666667
214_50.out ,  110.0
216_100.out ,  13.885613333333334
216_50.out ,  211.70682
217_50.out ,  13906927806.071768
218_100.out ,  6776.0
218_200.out ,  454.0
218_50.out ,  7692.333333333333
219_50.out ,  'infinite'
21_50.out ,  2288.0
220_100.out ,  15350.0
220_200.out ,  30000.0
220_50.out ,  7000.0
222_100.out ,  804.8953999999999
223_100.out ,  85.0
223_50.out ,  38.26666666666667
226_50.out ,  14288.0
227_200.out ,  268.6738999999997
227_50.out ,  51.66713333333334
228_50.out ,  'infinite'
229_200.out ,  981.3909600000017
229_50.out ,  187.8261599999999
22_200.out ,  1436.6666666666667
22_50.out ,  137.0
231_50.out ,  19.333333333333332
232_100.out ,  92.66666666666667
232_50.out ,  53.333333333333336
233_50.out ,  1323631.42594
234_200.out ,  57640631.333333336
234_50.out ,  6258200.666666667
235_100.out ,  'infinite'
235_50.out ,  'infinite'
236_50.out ,  170.33333333333334
237_50.out ,  71.66666666666667
238_50.out ,  14042.107266666666
239_50.out ,  'infinite'
23_50.out ,  'infinite'
240_50.out ,  970.3849000000001
241_100.out ,  4247.6965
241_50.out ,  1488.182
242_50.out ,  29.0
244_100.out ,  224062531.46240008
244_50.out ,  102651962.9968
246_50.out ,  1733.995586666667
248_50.out ,  'infinite'
249_50.out ,  1194.3333466666668
24_50.out ,  49.266666666666644
250_100.out ,  226.33333333333334
250_200.out ,  1018.0
250_50.out ,  176.0
252_50.out ,  7858.079999999998
254_200.out ,  720.0
254_50.out ,  56.0
256_50.out ,  233.66666666666666
258_100.out ,  1689.2003499999996
258_50.out ,  822.8894833333333
259_100.out ,  70.66666666666667
259_200.out ,  25.666666666666668
259_50.out ,  'infinite'
25_50.out ,  22.666666666666668
261_50.out ,  238.66666666666666
262_50.out ,  23.333333333333332
263_100.out ,  120.0
263_200.out ,  120.0
263_50.out ,  120.0
264_50.out ,  1475.054323333334
265_100.out ,  185.0
265_50.out ,  71.33333333333333
267_100.out ,  66.53333333333335
267_50.out ,  29.399999999999995
268_50.out ,  154.66666666666666
269_50.out ,  12297118338.105547
26_100.out ,  546.3333333333334
26_50.out ,  5566.666666666667
271_50.out ,  1384.7288933333334
272_100.out ,  128173020313.61974
272_200.out ,  211446006633.88528
273_50.out ,  46.0
274_50.out ,  'infinite'
275_100.out ,  72.0
275_50.out ,  36.0
276_100.out ,  'infinite'
276_50.out ,  'infinite'
277_100.out ,  64787376844.666664
277_50.out ,  32127433440.333332
278_50.out ,  1341.9236100000003
279_100.out ,  2265252858.5455394
279_50.out ,  1341612113.6449337
27_50.out ,  28.333333333333332
281_100.out ,  2918.784566666669
281_50.out ,  1154.4562666666668
282_50.out ,  26.0
284_50.out ,  349.6666666666667
285_100.out ,  255478.52835999997
285_50.out ,  25559.657336666667
286_50.out ,  40.333333333333336
287_100.out ,  500830.0
287_200.out ,  918.6666666666666
287_50.out ,  62.666666666666664
288_50.out ,  29.333333333333332
289_50.out ,  6.333333333333333
28_50.out ,  1772180438.0037897
290_100.out ,  1445.737333333333
290_50.out ,  38.36299000000001
291_100.out ,  'infinite'
291_50.out ,  'infinite'
293_100.out ,  'infinite'
293_50.out ,  'infinite'
294_50.out ,  14.0
296_50.out ,  12505895520.89446
298_50.out ,  1970.3333333333333
299_100.out ,  2458414.994130001
299_50.out ,  1676189.6010499997
29_50.out ,  17781.942433333334
2_100.out ,  486479.66393666645
2_50.out ,  138265.72560666665
300_50.out ,  76.26674333333332
301_100.out ,  2292.0
301_50.out ,  17.666666666666668
303_100.out ,  72778343514.13452
303_50.out ,  'infinite'
304_50.out ,  'infinite'
305_50.out ,  33153317922.591366
306_50.out ,  'infinite'
307_50.out ,  1389.3333333333333
309_50.out ,  23344083828.92732
30_50.out ,  'infinite'
311_100.out ,  13708034.039386675
311_50.out ,  7196056.716526665
314_100.out ,  65552.0
314_200.out ,  113022.66666666667
314_50.out ,  137526.0
315_50.out ,  4.609473333333334
316_50.out ,  29.666666666666668
318_100.out ,  148.66666666666666
318_50.out ,  48.333333333333336
319_100.out ,  369.3333333333333
319_50.out ,  42.333333333333336
320_50.out ,  'infinite'
321_100.out ,  'infinite'
321_50.out ,  'infinite'
322_100.out ,  48.0
322_50.out ,  29.0
324_50.out ,  1953.6666666666667
325_50.out ,  47563.333333333336
326_50.out ,  'infinite'
327_50.out ,  59.47999999999999
329_50.out ,  80.0
32_50.out ,  11.666666666666666
331_50.out ,  37.00666666666666
332_50.out ,  6.666666666666667
334_50.out ,  14186360993.154602
335_50.out ,  9.772456666666669
337_50.out ,  57.666666666666664
33_100.out ,  8288.666666666666
33_200.out ,  15455.333333333334
33_50.out ,  1109.3333333333333
340_100.out ,  5136.053906666667
340_50.out ,  2343.434693333335
342_50.out ,  25082.666666666668
345_50.out ,  2310.333333333333
34_100.out ,  67.0
34_50.out ,  4.666666666666667
350_100.out ,  6912.0796999999975
350_50.out ,  1335.147433333333
351_100.out ,  'infinite'
351_50.out ,  'infinite'
352_50.out ,  689.0
357_100.out ,  23435121248.99576
357_50.out ,  4974478030.694402
358_50.out ,  'infinite'
359_100.out ,  609.0
359_200.out ,  1512.0
359_50.out ,  212.33333333333334
35_50.out ,  'infinite'
360_50.out ,  1154.8697100000004
362_50.out ,  872.4243000000001
363_50.out ,  25.666666666666668
364_100.out ,  116.0
364_50.out ,  90.66666666666667
365_100.out ,  'infinite'
365_50.out ,  'infinite'
366_50.out ,  'infinite'
36_50.out ,  29.333333333333332
37_100.out ,  3324.4897333333347
37_50.out ,  2043.9258633333334
38_50.out ,  1208.6666666666667
3_50.out ,  9150.59
40_50.out ,  367786.0
42_50.out ,  23.333333333333332
43_50.out ,  142770.66666666666
44_100.out ,  12808.0
44_50.out ,  6287.333333333333
45_50.out ,  'infinite'
46_50.out ,  28750829989.539673
48_50.out ,  5973.333333333333
49_50.out ,  1279.3333333333333
51_50.out ,  644775.3333333334
52_50.out ,  2012.7030733333331
53_200.out ,  'infinite'
53_50.out ,  'infinite'
54_50.out ,  128539.73730666666
55_50.out ,  307.97886
56_50.out ,  'infinite'
57_50.out ,  5218.0
5_50.out ,  21198487311.891094
60_50.out ,  376982.77721333335
61_50.out ,  'infinite'
62_50.out ,  'infinite'
63_100.out ,  197.66666666666666
63_50.out ,  98.33333333333333
64_100.out ,  1550.0
64_50.out ,  278.33333333333337
65_100.out ,  1985.6666666666667
65_50.out ,  882.0
66_50.out ,  138.8566866666667
67_50.out ,  22.666666666666664
68_50.out ,  'infinite'
6_50.out ,  883.0141966666666
70_50.out ,  39.333333333333336
71_50.out ,  252258646.21604002
73_50.out ,  39.333333333333336
75_50.out ,  236.0
76_100.out ,  'infinite'
76_50.out ,  'infinite'
78_100.out ,  53.59780000000001
78_50.out ,  359.86019666666664
79_50.out ,  20586.0
7_50.out ,  377.3333333333333
81_100.out ,  51075100.953839995
81_50.out ,  20164293.76973
82_50.out ,  6109.333333333333
83_50.out ,  142.06666666666666
84_50.out ,  98.8
85_50.out ,  535.8773000000001
86_100.out ,  58.892613333333344
86_50.out ,  48.920439999999985
87_100.out ,  316.6666666666667
87_50.out ,  46.0
88_50.out ,  1216.9020666666668
89_200.out ,  293.0
89_50.out ,  66.0
8_50.out ,  3883.4480666666673
93_50.out ,  'infinite'
94_50.out ,  3487.0
96_50.out ,  60.791483333333346
97_50.out ,  119.0
98_50.out ,  206.15837999999997
99_50.out ,  9699579543.824842
9_100.out ,  20.707200000000007
9_50.out ,  25.3426
